"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"1","g__Bryobacter",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2","g__Subgroup_7",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"3","g__IMCC26256",-0.359678723029935,0.875661429420993,0.0482233373390487,0.209086254337815,-7.45860288559261,4.18803920034939,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"4","g__Iamia",2.14977623944433,-3.35279096230576,0.0482233373390487,0.229725828283675,44.5795823779197,-14.5947496951261,0.0142781289412993,0.0435517113243698,0.107451188513269,0.321720706234861,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"5","g__Actinomyces",-0.216290646433933,0.629236853018086,0.372022207280814,0.545842272142073,-0.581391761569411,1.15278146294669,0.569077297955544,0.265932504130579,1,0.688104896540615,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6","g__F0332",-0.522213225342742,0.490360776878802,0.089474442398258,0.228883516962792,-5.83645129654263,2.14240318999693,0.0281238317622985,0.165431330991925,0.149775755199217,0.533574292917617,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"7","g__Varibaculum",-0.210113993883868,0.33404633549483,0.0482233373390487,0.209086254337815,-4.35710188215715,1.5976484755192,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","g__Gardnerella",-0.390896188433548,2.56282868118465,0.25890186347941,0.321501855049093,-1.50982377330257,7.97142735239679,0.270162284499383,0.0153752056512291,0.612546169805532,0.153083569310064,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"9","g__Scardovia",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","g__Corynebacterium",0.0206812163726302,0.157804356084154,0.447080185429235,0.706073081972661,0.0462584051958699,0.223495782679142,0.963410856497609,0.824664612226405,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"11","g__Lawsonella",0.094604208844407,0.0790509891175911,0.346653716912316,0.630405519976504,0.272906950737633,0.12539704462064,0.78772276062326,0.90146115841357,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"12","g__Turicella",0.281063795693095,-0.510654650266358,0.0482233373390487,0.249423605170995,5.82837711369895,-2.04733890329375,0.108174358400464,0.28925203993293,0.339912486955283,0.712244270372484,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"13","g__Dietzia",-0.273774922469609,1.08005475511123,0.085028651962059,0.243962260137555,-3.21979610580879,4.42713866686695,0.0844234445704317,0.0474216528803037,0.297430289332752,0.339361203424674,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"14","g__Mycobacterium",0.705867601565367,-1.23831381228943,0.099575435681705,0.235535808681553,7.08877241392835,-5.257433335598,0.019325233988719,0.0343266625608787,0.126442245240476,0.280743061658615,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"15","g__Gordonia",-0.186549200216089,-0.0687437168396819,0.177144848949028,0.27042720118399,-1.05308848280295,-0.254204150095503,0.36962765242884,0.815765630828563,0.779842260857864,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"16","g__Rhodococcus",0.400766159426589,-0.29733217625821,0.252004597959804,0.339803385394369,1.59031288584073,-0.875012401401275,0.209989542397386,0.445974305069463,0.52967836671169,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"17","g__Williamsia",0.346193564766211,-0.77856878180533,0.0482233373390487,0.209086254337815,7.17896321302263,-3.72367272191608,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"18","g__Blastococcus",0.00243887115065242,0.704630750587453,0.0547805690243038,0.260296042558607,0.0445207341597785,2.70703597204633,0.967286983824848,0.0733480285142073,1,0.373259967327855,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"19","g__Geodermatophilus",0.200964353899513,1.08158269979399,0.0482233373390487,0.209086254337815,4.16736719166848,5.17290198353503,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"20","g__Modestobacter",-2.11020363398911,2.44875016368353,0.0482233373390487,0.236021161819164,-43.758971287132,10.3751296909543,0.0145457940782154,0.0611712162372388,0.107451188513269,0.365427271224755,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"21","g__Kineococcus",-0.617930816049017,0.615018285024426,0.134226961847812,0.235059537225319,-4.60362663016714,2.61643621137097,0.136171154994401,0.232409105181191,0.404976551866464,0.649044940079181,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"22","g__Pseudokineococcus",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"23","g__Quadrisphaera",-0.0676748656823841,-0.0250337063432308,0.0482233373390487,0.209086254337815,-1.40336337998707,-0.119729087034026,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"24","g__Brevibacterium",-0.0897664431391849,0.487835515601483,0.186676260499961,0.354968508215846,-0.480866945260047,1.37430646468741,0.639259426087013,0.194469801514672,1,0.593781127291464,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
