"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"1","g__Bryobacter",1.09158435951409,-2.22813532889556,0.0738403558639637,0.211592311038901,14.7830322151361,-10.5303227605748,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2","g__Vicinamibacteraceae",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"3","g__Actinomyces",-0.39991597593817,1.10252527821789,0.245782923645275,0.367268467439603,-1.62711050062757,3.00196008087517,0.123243518215939,0.00844489796660628,0.450390067822358,0.0876660836533414,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"4","g__Actinotignum",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"5","g__F0332",-1.31680088298837,1.64297616260476,0.0738403558639637,0.214841455353724,-17.8330787762496,7.64738890778643,0.0356614670623401,0.0827770122878457,0.21253297627406,0.304498205899721,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6","g__Varibaculum",0.679370454108672,-0.754473577200932,0.0825570030971983,0.255073089776412,8.22910750901189,-2.95787210584337,0.0011889143327902,0.0416423241521156,0.0291395598964403,0.216143492027648,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"7","g__Bifidobacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","g__Gardnerella",0.629510818879172,-1.28507885337876,0.16471189941421,0.329327629136801,3.82189034986542,-3.90212888225343,0.0315329382144857,0.0298785419358937,0.202181780316408,0.197379458849237,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"9","g__Corynebacterium",0.109933912435265,0.0264475401336617,0.420792767643391,0.736785698584673,0.261254282127848,0.0358958380767515,0.795742915481915,0.971611365055763,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","g__Lawsonella",-0.222332557535343,0.571518517340613,0.401395902805657,0.548313944595124,-0.553898422931807,1.04231986615373,0.587811187424896,0.313772327592484,1,0.712524660574599,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"11","g__Turicella",0.709494400759168,-1.08818100850731,NA,0.211265060446711,NA,-5.15078549290828,1,0.122077956818669,1,0.409355576944543,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
