"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"29","g__Streptomyces",0.275156716157126,-0.0601402117700643,0.256374653886753,0.356119754195677,1.07326021502371,-0.168876371112564,0.395467466929488,0.881428770372345,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"30","g__67-14",0.0797956946320592,0.153826071568154,0.264949645191908,0.363846455937688,0.301173057145487,0.422777435530382,0.813767933538246,0.745360615272714,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"31","g__Bacteroides",1.39526689726221,-1.85484282566227,NA,0.312856069577339,NA,-5.9287416995557,1,0.0272902963812017,1,0.300872726518424,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"32","g__Porphyromonas",0.36061644111192,-1.39114566641962,0.459182295759222,0.603499874703876,0.785344828061519,-2.30513000040344,0.462126824299027,0.060672355549958,1,0.52358983502892,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"33","g__Alloprevotella",-0.265221959642768,-0.15870906818839,NA,0.279302220279578,NA,-0.568234180270835,1,0.671036459390026,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"34","g__Prevotella",-0.307693329208611,0.888214484849128,0.46066750955169,0.577658019453393,-0.667929304387128,1.53761300793434,0.517947515264915,0.152395906093893,1,0.609583624375572,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"35","g__Parabacteroides",2.42217448690026,-4.99933553889847,NA,0.27552925190614,NA,-18.144481953595,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"36","g__Hymenobacter",-0.765798701991701,1.83058195730416,0.275923327819528,0.380300307377866,-2.77540397922637,4.81351690175022,0.109003163922167,0.040552162940446,0.781108745895304,0.41176042370299,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"37","g__Capnocytophaga",-0.490576424082192,0.525437758865205,0.282322893261307,0.415343975700389,-1.73764308807977,1.26506652222213,0.120475117240402,0.241451046904397,0.781108745895304,0.796788454784509,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"38","g__Flavobacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
