"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"1","g__Actinomyces",0.00897391750557521,-0.216159459233634,0.426720329069794,0.630741478833996,0.0210299741873967,-0.342706903679828,0.983481776577363,0.736279940081545,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2","g__F0332",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"3","g__Mobiluncus",0.184690061449626,-1.40602115283275,NA,0.31480632887315,NA,-4.46630522920426,1,0.14022567562241,1,0.434247253540366,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"4","g__Varibaculum",-0.347184891979703,0.537067647750257,0.0987777392415896,0.265466938351066,-3.51480905156739,2.02310559305887,0.0245649186852943,0.113096940924364,0.314430959171766,0.382235616469832,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"5","g__Bifidobacterium",-1.01617268254575,0.500269845313847,NA,0.238160843198675,NA,2.10055456050145,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6","g__Gardnerella",-1.26564256993125,2.68148241763004,0.191793615163147,0.270511343345995,-6.59898176930781,9.9126431611421,0.0957439737202041,0.0640064633914426,0.510634526507755,0.274276824533712,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"7","g__Corynebacterium",-0.0760943402007014,0.172909483228349,0.592647145346665,0.833059442947662,-0.128397379111968,0.207559598168089,0.899116858972889,0.837671718453809,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","g__Lawsonella",0.0357978923580825,-0.348291574454554,0.308483495453122,0.575248608155239,0.116044757290824,-0.605462698243613,0.909708512123921,0.557156980993014,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"9","g__Mycobacterium",0.951251000811129,-1.60082173787276,0.15504228343486,0.288583957123638,6.13542950823985,-5.54716122763165,0.00167026038611415,0.00261511965420738,0.104431967135353,0.1480305255723,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","g__Gordonia",0.135091296093477,-2.05573648962015,0.112219973185295,0.235421770527697,1.20380795199815,-8.73214267742623,0.351812067778539,0.012862219495514,1,0.1480305255723,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
