"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"1","g__Abditibacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2","g__Vicinamibacteraceae",-0.642173212705473,1.36266781647826,NA,0.225589371530488,NA,6.04047880107731,1,0.104444979824525,1,0.325233734643459,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"3","g__IMCC26256",-1.11981061980698,2.93601613111463,NA,0.218345998705848,NA,13.4466220975727,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"4","g__Actinomyces",0.410434389636661,-0.395835769073769,0.252364057292116,0.449366906353794,1.62635834136069,-0.880874322245087,0.121252381163528,0.38999633141934,0.634640122685702,0.79802843102026,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"5","g__F0332",-0.817196492117926,2.75303604313005,0.0921027371759091,0.217515138801651,-8.87266238957854,12.6567560230394,0.0714491921674518,0.0501945381115683,0.439337913065966,0.231794523518101,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6","g__Mobiluncus",0.0285320095376023,0.340455523324526,NA,0.337155227524917,NA,1.0097886538015,1,0.496899374832885,1,0.95016556687741,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"7","g__Varibaculum",-0.345814811792063,0.721045215100384,0.232775781476593,0.291725686819834,-1.48561336406398,2.47165487194719,0.3771709995558,0.244751412976503,1,0.569716073524088,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","g__Bifidobacterium",1.6466982865316,-1.46704079880165,NA,0.229073495906411,NA,-6.40423630414676,1,0.0986097585905785,1,0.315038969003666,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"9","g__Gardnerella",0.286256263035053,0.238396916836151,NA,0.409943329242684,NA,0.581536275456799,1,0.601692425860977,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","g__Scardovia",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"11","g__Corynebacterium",-0.455059347854912,1.51677261231221,0.697080698476591,0.859854736539478,-0.652807270161696,1.7639870409001,0.519611550767363,0.0894827437429549,1,0.306027910405653,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"12","g__Lawsonella",-0.514431042690786,1.36129388490141,0.264229862048914,0.517609809912055,-1.94690728255217,2.62996152474913,0.071893392560734,0.019787930020094,0.439337913065966,0.152119712029473,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"13","g__Dietzia",0.00595582672999883,0.158061727309501,NA,0.222752537360281,NA,0.709584407803406,1,0.60712313825258,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"14","g__Mycobacterium",0.254077519836557,0.0710873811033224,0.111801681532795,0.340630219517593,2.2725733312162,0.208693700764418,0.0526784317550779,0.839903011064822,0.41215177195987,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"15","g__Gordonia",-0.288632176108542,1.07308477079256,0.103938468119369,0.218300498933854,-2.77695237702618,4.91563132486339,0.108900770055159,0.0389810473591849,0.60885430530839,0.213096392230211,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"16","g__Rhodococcus",0.00475376316717568,0.345059412057127,0.190552484325698,0.28337990893114,0.0249472641828716,1.21765658461333,0.980708085946713,0.258048408480432,1,0.582384481524644,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"17","g__Williamsia",-0.421138521153745,1.76634081407456,NA,0.218345998705848,NA,8.08964132406265,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"18","g__Blastococcus",0.417704156163893,-0.644328096434867,0.187514661631314,0.289482648082229,2.22758131300246,-2.22579177267938,0.0674901275037886,0.0676565142181796,0.439337913065966,0.268127892365173,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"19","g__Geodermatophilus",-0.221825618924783,1.15796970700531,NA,0.218345998705848,NA,5.30337040233699,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"20","g__Modestobacter",-0.283072480282259,1.32900593892146,0.124925191190187,0.22671004353369,-2.26593593802316,5.8621396661854,0.264586296297922,0.107563159033036,1,0.326673297804034,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"21","g__Nakamurella",-0.313688859975508,0.334850498566068,NA,0.218345998705848,NA,1.53357744383112,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"22","g__Kineococcus",-0.00606088187822571,0.647622407007565,0.286643827039116,0.332222086009163,-0.0211442958351188,1.9493659039565,0.984458262349856,0.146364469158879,1,0.397308868915533,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"23","g__Quadrisphaera",-0.824799945220364,1.45406922068708,0.0952877328311974,0.218012621238793,-8.6558880216145,6.66965615304637,0.0732229855109943,0.0947444239517518,0.439337913065966,0.314961193136905,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"24","g__Brevibacterium",-1.06224077970311,2.155103690152,0.257322515345617,0.478566607101476,-4.12805221601532,4.50324710953982,0.00140036889605082,0.000722556956770037,0.0574151247380835,0.0252790695879224,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"25","g__Cellulomonas",0.00250548723224452,0.0814886830813019,0.0937492056363725,0.268905473735852,0.0267254235941222,0.303038394678975,0.981105645260378,0.790475782392216,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"26","g__Brachybacterium",-1.2406971923799,2.01036785783311,0.160019146465056,0.254196266163895,-7.75342963506456,7.90872300436117,0.00446246107640309,0.00421408875072563,0.100751544444853,0.074047559477036,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"27","g__Dermabacter",0.541457417812374,-0.743721137493011,0.133726501066192,0.23696313473851,4.04899113859536,-3.13855207188119,0.0048770276623827,0.0164123525101025,0.100751544444853,0.13922202474087,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"28","g__Dermacoccus",0.14405589170008,-0.571242000211665,NA,0.218345998705848,NA,-2.61622380807276,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"29","g__Kytococcus",1.31521264469789,-1.45048857254401,NA,0.216773387619651,NA,-6.69126680388012,1,0.0944429066540013,1,0.314961193136905,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"30","g__Ornithinimicrobium",-0.111546761672349,0.525232671684792,NA,0.218345998705848,NA,2.40550628267925,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"31","g__Curtobacterium",0.555000443782027,-0.503346970961674,0.425932068743241,0.551773339797884,1.30302572759927,-0.912235033222248,0.203988466474467,0.370026404229507,0.850528182249472,0.771410978308972,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"32","g__Microbacterium",0.493829217393945,-0.64072286650151,0.137222572910472,0.230857664907883,3.59874623336302,-2.77540218020126,0.0227835580711621,0.0500533907528859,0.245024060252759,0.231794523518101,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"33","g__Glutamicibacter",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"34","g__Kocuria",-0.0549782591492143,0.41779453511048,0.231245714353143,0.323261466422768,-0.237748229423423,1.2924353147742,0.819986992119716,0.24374549508182,1,0.569716073524088,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"35","g__Micrococcus",-0.251114398156418,0.935295480385056,0.360856165187709,0.433699257084928,-0.695885015642713,2.1565531070345,0.495905195365177,0.0456523178773817,1,0.231794523518101,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"36","g__Nesterenkonia",-0.40541798497054,1.61031657912826,NA,0.218345998705848,NA,7.3750679594438,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"37","g__Rothia",-0.336389633847148,0.997364981194607,0.312307203465527,0.410517577129771,-1.07711135098515,2.42953051649558,0.298449127177788,0.0281497511372352,1,0.177559968711791,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"38","g__Actinoplanes",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"39","g__Micromonospora",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"40","g__Aeromicrobium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"41","g__Marmoricola",0.0282118376672,0.413180097060356,NA,0.234377806345935,NA,1.76288063917841,1,0.176123981683766,1,0.460920207385175,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"42","g__Nocardioides",0.0337349460070272,0.238040929771399,0.195060667664871,0.314805398512845,0.172945916831303,0.756152629198592,0.86838064326441,0.478184588577414,1,0.926247313307431,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"43","g__Cutibacterium",-0.800385502409793,2.20742492142197,0.541782874531742,0.738994777442714,-1.47731783346153,2.98706430519137,0.151602156288107,0.00607307806580406,0.72701530766273,0.0952414167680719,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"44","g__Friedmanniella",-0.217979335014489,0.795698349898028,0.200796515450001,0.313464799893945,-1.08557329556233,2.53839777278737,0.327211729197294,0.0519951662901136,1,0.231794523518101,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"45","g__Microlunatus",0.906499315421408,-1.59869581464025,NA,0.218345998705848,NA,-7.321846171287,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"46","g__Pseudopropionibacterium",0.69013267150651,-0.683870451512356,NA,0.218345998705848,NA,-3.13204938751204,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"47","g__Actinomycetospora",1.6193683843908,-1.66428540465096,NA,0.237632709693649,NA,-7.00360403581023,1,0.0197841650339158,1,0.152119712029473,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"48","g__Pseudonocardia",0.556818339879535,-0.811497531418977,NA,0.218345998705848,NA,-3.71656699105447,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
