"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"169","g__Comamonas",0.12073802625086,-0.0719347150100399,0.58312576130686,0.646657720775476,0.207053150902252,-0.111240788904175,0.838435389419468,0.912660880850217,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"170","g__Curvibacter",-0.0172436980442793,0.523117984538178,0.523558704691521,0.666656493148242,-0.0329355579226579,0.784688951378523,0.974160242404437,0.444852719116076,1,0.821376950319151,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"171","g__Variovorax",-0.0139094453090227,0.221295565887617,0.457088243797568,0.466520108402683,-0.0304305470503039,0.47435375646574,0.976418332195324,0.638282478943334,1,0.908946568115507,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"172","g__Conchiformibius",-0.922700121418926,0.997689258822362,0.881952465555738,0.640136302691799,-1.04620164629566,1.55855753630444,0.363402421661859,0.187886312272303,1,0.631470220845942,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"173","g__Kingella",-1.16277854701808,1.67196977672739,0.647521361691336,0.709069985828061,-1.79573774057567,2.35797567256332,0.115603264839336,0.0504914393960587,1,0.532889382073595,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"174","g__Neisseria",-0.120168978267507,0.29244457103407,0.547682584143289,0.478837188304365,-0.219413546727036,0.610739053225294,0.829965510185915,0.543910773606358,1,0.877729673531393,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"175","g__Herbaspirillum",0.754541129846729,-0.511667715036917,0.643706080997763,0.892970676742639,1.17218269660769,-0.572994979973327,0.272250257835454,0.589567856902797,1,0.901397586803609,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"176","g__Massilia",-0.124228989038761,0.32012634886878,0.515362087180871,0.546110841598935,-0.241051858739391,0.586192993223676,0.811218115080931,0.561133145878553,1,0.895211031384421,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"177","g__Undibacterium",1.73510927427587,-1.39626677152224,0.729135844167425,0.0807246952325091,2.37967902436223,-17.2966496497832,0.101159268881251,0.998777712148521,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"178","g__Cardiobacterium",-0.584942549536182,1.25242409547043,0.84315382355654,1.35451129254703,-0.693755437256766,0.924631712088103,0.510194264063427,0.385922921820591,1,0.761689977277482,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"179","g__Escherichia-Shigella",0.692845492663694,-0.489188428354029,0.650843979833744,0.484037035276772,1.06453391923619,-1.01064255976676,0.349973270543936,0.378640476960334,1,0.753930153239602,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"180","g__Pantoea",-0.0805381624875545,0.291658485628144,0.501761059604872,0.565207046238398,-0.160510986147424,0.51602061150725,0.876058843789289,0.611375508097736,1,0.903650794764995,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"181","g__Actinobacillus",-1.12056965305967,1.26300591565609,1.1307602944965,1.11799724121525,-0.990987796895213,1.12970396445989,0.386374091252711,0.360939401542398,1,0.738285652440867,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"182","g__Aggregatibacter",-0.259119171104343,0.411219600958015,0.647359013062482,0.670799389846411,-0.400271203267133,0.613029181574196,0.69281702909477,0.546142907975089,1,0.877729673531393,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"183","g__Frederiksenia",-0.801190845525767,0.764591001727755,1.05696887728527,0.0728811584647036,-0.758007981827765,10.4909282156656,0.503506522250812,0.991876639565459,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
