"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"168","g__Aquabacterium",-0.0355915512805433,0.303700917534859,0.412562848207097,0.446591387464643,-0.0862694046136631,0.680042038560145,0.931714412538419,0.499546907703523,1,0.900146823576806,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"169","g__Comamonas",0.123245547440612,-0.163598946055879,0.579772106064732,0.697655534047834,0.212575848598779,-0.234498170044848,0.834192181053305,0.817253275014868,1,0.943179470505654,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"170","g__Curvibacter",-0.0281165658034957,0.444979484252739,0.522169833749813,0.718314855170712,-0.0538456340949163,0.619476934173923,0.95776875786331,0.544897499132064,1,0.914939830632196,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"171","g__Variovorax",-0.0347743113907583,0.15313588189188,0.438000114347111,0.541569521658011,-0.0793933842747814,0.282763109384471,0.93715942725013,0.778977967462897,1,0.943179470505654,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"172","g__Conchiformibius",-0.401551067920258,0.619591143823242,0.713269642981258,0.876860327026997,-0.562972323120177,0.706601866598266,0.594639532573174,0.500081568653781,1,0.900146823576806,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"173","g__Kingella",-1.15700699501305,1.58466047810316,0.642792937894764,0.752871186115984,-1.79996842965078,2.10482285326701,0.114889761580752,0.0733470006188665,1,0.833484378645828,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"174","g__Neisseria",-0.150991793936055,0.23333895513836,0.510712261968115,0.552942885158108,-0.295649439381351,0.421994678657704,0.769137577750983,0.67463635891966,1,0.926477256367225,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"175","g__Herbaspirillum",0.731711028546819,-0.581367688688547,0.640320996598377,0.929280822201277,1.14272533999969,-0.625610337369715,0.283642648649282,0.556513250358821,1,0.918789421905905,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"176","g__Massilia",-0.135999156198233,0.246362942660154,0.512424195837583,0.606059818646794,-0.265403463191147,0.406499383526582,0.792583801695346,0.686604316022986,1,0.926477256367225,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"177","g__Undibacterium",1.45206051097406,-1.47025441525972,0.576613240545309,0.280881839854776,2.518257315078,-5.2344231867033,0.0532878921021922,0.00336936406176412,1,0.216207171386084,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"178","g__Cardiobacterium",-0.581741912829498,1.16831083128721,0.83688148848857,1.37020582548277,-0.695130578022629,0.852653528075302,0.509383132553993,0.422063549359711,1,0.86440349709174,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"179","g__Escherichia-Shigella",0.519558374128875,-0.495423951637549,0.696747018876198,0.798172222223697,0.745691563871898,-0.620698062201795,0.489404042120238,0.561993568402975,1,0.918789421905905,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"180","g__Pantoea",-0.0911661775719381,0.213325903946261,0.499057209969244,0.622649574240874,-0.182676806888646,0.342609892902191,0.859081275477572,0.735381344052513,1,0.934806793287093,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"181","g__Actinobacillus",-0.987154760830178,1.18841311716818,1.20836720669369,1.31686577966122,-0.816932762956392,0.902455766960479,0.459828278882402,0.41784530921265,1,0.86440349709174,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"182","g__Aggregatibacter",-0.264656204196165,0.335257539305946,0.645051830724195,0.720420561403465,-0.410286726725567,0.465363646274648,0.685563834253273,0.646244792737424,1,0.926314579666286,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"183","g__Frederiksenia",-0.812385802441492,0.707515705880678,1.06327250823991,0.283485191874424,-0.764042892246199,2.49577659137161,0.500429292716139,0.242601818392438,1,0.843100367035881,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"184","g__Haemophilus",-0.146235248006727,0.644191909048254,0.411137997566689,0.465224013496977,-0.355684098458952,1.38469186963506,0.724154077708526,0.171428794783168,1,0.833484378645828,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"185","g__Acinetobacter",-0.0867757099782764,0.251242374405437,0.391305697105796,0.385081019156249,-0.221759383060592,0.652440296735305,0.825889189606493,0.51611077504595,1,0.900193212289448,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"186","g__Enhydrobacter",-0.177838780228956,0.389254937752853,0.547399875027433,0.583429835029125,-0.324879102721833,0.667183805801466,0.747519797054724,0.508468168618453,1,0.900193212289448,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
