"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"166","g__Ralstonia",0.389849270093886,-0.63674723631898,0.207993690338923,0.294803022487638,1.87433219468644,-2.15990742206749,0.0637461997654793,0.0331225023499024,0.100622229112408,0.0591473256248257,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"167","g__Acidovorax",0.395586265456885,-0.465274092015746,0.0726809560487203,0.155227338974999,5.44277740639117,-2.99737208076911,4.38665410452892e-05,0.00809994850289704,0.000166200232971674,0.0175239270495369,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"168","g__Aquabacterium",0.0729899061285276,-0.126820314719022,0.133635832715897,0.211117457773614,0.546185140954674,-0.600709747343651,0.587188297839787,0.550546439200296,0.683606106881066,0.622477129749078,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"169","g__Comamonas",0.186227699264594,-0.522762412255239,0.0885171372956723,0.174192169099123,2.10386039307328,-3.0010672406161,0.049712884142526,0.00766759584121641,0.0800436431920215,0.016749602565764,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"170","g__Curvibacter",-0.0131770447133399,0.131879190971033,0.0854610456438599,0.165915157420256,-0.154187730960517,0.794859210102116,0.87951710073175,0.439091850456278,0.951400709926172,0.525508863577993,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"171","g__Variovorax",0.00261579982977166,-0.189834264689913,0.0950820087590326,0.202050538907647,0.0275109861887847,-0.939538521976832,0.978204121789461,0.353715934377784,1,0.437286182609898,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"172","g__Conchiformibius",-0.339483452177979,0.27227572758803,0.0384360426142556,0.15164884117983,-8.83242470056133,1.79543559627441,2.12726176637434e-05,0.110319791603713,0.000101836999454091,0.158101612170926,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"173","g__Kingella",-1.097474056489,1.23390224445677,0.0602919675511499,0.143606883181823,-18.2026578508644,8.59222216315705,3.73747285088353e-07,5.76139454534269e-05,4.54378592383382e-06,0.000523354068679567,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"174","g__Neisseria",-0.0549965394464886,-0.0210547908788213,0.201729474558256,0.330693834522635,-0.272625205448629,-0.0636685316773878,0.785955563773399,0.949418251337019,0.874408593670943,0.9666022920852,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"175","g__Herbaspirillum",0.635902718473094,-0.804413550485536,0.0525990429084912,0.159063822074461,12.0896252728287,-5.05717478679077,7.22679519311811e-07,0.000683655135009529,7.48883625023519e-06,0.00252167877667449,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"176","g__Massilia",0.0555373791546281,-0.18071122886032,0.175236674239584,0.245501866130132,0.316927831434972,-0.736089023309223,0.752906570847861,0.465867269873695,0.847019892203844,0.543109511510784,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"177","g__Undibacterium",1.32768497311888,-1.6116789708959,0.0342770440802919,0.144317010503133,38.733940126484,-11.1676299645974,2.16146906617304e-07,0.000100437148353189,2.974472149543e-06,0.000668992073547706,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"178","g__Cardiobacterium",-0.555556728116662,0.847688254032063,0.0915626128666116,0.166750990375134,-6.06750627492465,5.0835575376497,0.000507092298120419,0.00142536912791806,0.00140858971700116,0.00421984281291532,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"179","g__Escherichia-Shigella",0.542681213967216,-0.831340306932836,0.037508962795465,0.139768006746846,14.468041063317,-5.9480014509944,2.84628821376287e-05,0.00191940177073715,0.000123156701557047,0.00539831748019823,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"180","g__Pantoea",0.0151556265772712,-0.182037473481689,0.0784678976076693,0.174372146255523,0.193144292625854,-1.04395958523636,0.848701791215996,0.308373355296386,0.922501946973909,0.389797780571274,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"181","g__Actinobacillus",-0.908774350928105,0.821015456829954,NA,0.14253568224644,NA,5.76006964635312,1,0.00450662975926217,1,0.010903136514344,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"182","g__Aggregatibacter",-0.249344881409642,0.0260477538509652,0.0933815068833234,0.180818630083754,-2.6701741033285,0.144054591271375,0.0139821811338354,0.886768809538928,0.025786809468139,0.923717509936384,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"183","g__Frederiksenia",1.14493794511514,-1.83186268419899,0.0452147662249903,0.152498625290412,25.3222130889252,-12.0123226075675,1.44425115511634e-05,0.000275321477230362,8.35592380931717e-05,0.00124634615735116,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"184","g__Haemophilus",-0.11574853827261,0.320512246270147,0.158721451341016,0.251582375666138,-0.729255795575621,1.27398529178166,0.46838694690021,0.207070188422368,0.554668752908144,0.272724721806438,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"185","g__Acinetobacter",0.0357032334975938,-0.0721653735422231,0.150626600056256,0.255013531757269,0.237031397404305,-0.282986447993327,0.813177174679724,0.777844377678253,0.896886589720283,0.837392272620129,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"186","g__Enhydrobacter",-0.0947493109937594,0.0406332272579784,0.174434931130419,0.278385091228931,-0.543178538723522,0.145960500537593,0.589420376599674,0.884539443895946,0.683606106881066,0.923717509936384,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"187","g__Moraxella",0.419259604597319,-0.733549814052123,0.0633198113579524,0.171543708734062,6.62130217393113,-4.27616856056971,3.75393477084681e-05,0.00130708567597357,0.000150827736328666,0.00397424698775748,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"188","g__Psychrobacter",0.187539633109451,-0.623222371607867,0.11853870362868,0.183129044680977,1.58209620460263,-3.4031869313443,0.134480091217817,0.00393198614097293,0.184500125146396,0.00967093669123119,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
